time,value
2005-01-03,116867.58974730001
2005-01-04,108184.31469360001
2005-01-05,138179.7541235
2005-01-06,162258.385686
2005-01-07,170081.6291742
2005-01-10,169967.08629920002
2005-01-11,119403.827297
2005-01-12,140993.3675054
2005-01-13,148277.1792513
2005-01-14,149550.341406
2005-01-17,79453.263066
2005-01-18,172276.5073001
2005-01-19,122789.6354325
2005-01-20,146194.2497003
2005-01-21,148874.1443086
2005-01-24,162914.14603220002
2005-01-25,164587.2676455
2005-01-26,150731.5817845
2005-01-27,165939.0876544
2005-01-28,160428.84090439999
2005-01-31,203982.2972574
2005-02-01,147273.69185270002
2005-02-02,144033.8239854
2005-02-03,152045.431517
2005-02-04,146017.15461610002
2005-02-07,175834.9534041
2005-02-08,144516.9353882
2005-02-09,140298.38617789999
2005-02-10,157770.5962152
2005-02-11,161742.8065716
2005-02-14,165225.02772379998
2005-02-15,143777.59361
2005-02-16,134875.73705589998
2005-02-17,148188.0667541
2005-02-18,165935.8476235
2005-02-21,79259.7620917
2005-02-22,174330.495221
2005-02-23,138096.6591276
2005-02-24,173271.330074
2005-02-25,174737.4359135
2005-02-28,209027.69752420002
2005-03-01,136579.15033960002
2005-03-02,136285.37879289998
2005-03-03,151983.17950579998
2005-03-04,136601.7063961
2005-03-07,149465.03596120002
2005-03-08,134528.4716368
2005-03-09,142686.8973819
2005-03-10,154701.8407258
2005-03-11,143884.8261041
2005-03-14,143547.9347631
2005-03-15,153905.8199306
2005-03-16,176006.8953795
2005-03-17,155745.3391637
2005-03-18,157715.5771129
2005-03-21,150014.21943270002
2005-03-22,135208.3643418
2005-03-23,181251.0759273
2005-03-24,187686.0592481
2005-03-29,176544.2711805
2005-03-30,155812.34948270002
2005-03-31,206798.702344
2005-04-01,156076.40813989998
2005-04-04,166539.2765877
2005-04-05,153690.7601152
2005-04-06,145304.6666461
2005-04-07,151247.2611702
2005-04-08,140126.2199913
2005-04-11,161003.9286848
2005-04-12,145648.5491438
2005-04-13,134279.5199694
2005-04-14,144823.3660409
2005-04-15,133459.7870066
2005-04-18,153196.38606289998
2005-04-19,135476.1627451
2005-04-20,198026.4428787
2005-04-21,175922.4813024
2005-04-22,150178.1533377
2005-04-25,180009.858387
2005-04-26,138765.070309
2005-04-27,135615.1011455
2005-04-28,146735.2367305
2005-04-29,180210.61190229998
2005-05-02,137576.0087148
2005-05-03,141073.03932510002
2005-05-04,149541.4415504
2005-05-06,156768.8195754
2005-05-09,163679.394237
2005-05-10,151787.6213189
2005-05-11,153722.2272636
