series,period,id,time,value
transact,2014-12-31,fct,2014-12-01,122093.25897543754
transact,2014-12-31,fct,2014-12-02,118341.32690230207
transact,2014-12-31,fct,2014-12-03,132174.40630647397
transact,2014-12-31,fct,2014-12-04,115417.27255011049
transact,2014-12-31,fct,2014-12-05,136263.64162836462
transact,2014-12-31,fct,2014-12-06,NA
transact,2014-12-31,fct,2014-12-07,NA
transact,2014-12-31,fct,2014-12-08,121425.98472123605
transact,2014-12-31,fct,2014-12-09,115722.96588320483
transact,2014-12-31,fct,2014-12-10,129496.93840704965
transact,2014-12-31,fct,2014-12-11,102989.37469084823
transact,2014-12-31,fct,2014-12-12,129837.88822802604
transact,2014-12-31,fct,2014-12-13,NA
transact,2014-12-31,fct,2014-12-14,NA
transact,2014-12-31,fct,2014-12-15,122215.23501259851
transact,2014-12-31,fct,2014-12-16,113437.79994254213
transact,2014-12-31,fct,2014-12-17,121704.86098744617
transact,2014-12-31,fct,2014-12-18,112791.8157106925
transact,2014-12-31,fct,2014-12-19,123252.67503133991
transact,2014-12-31,fct,2014-12-20,NA
transact,2014-12-31,fct,2014-12-21,NA
transact,2014-12-31,fct,2014-12-22,113122.94539876973
transact,2014-12-31,fct,2014-12-23,102893.02805280316
transact,2014-12-31,fct,2014-12-24,114868.64295747592
transact,2014-12-31,fct,2014-12-25,NA
transact,2014-12-31,fct,2014-12-26,NA
transact,2014-12-31,fct,2014-12-27,NA
transact,2014-12-31,fct,2014-12-28,NA
transact,2014-12-31,fct,2014-12-29,114652.55112528085
transact,2014-12-31,fct,2014-12-30,135932.8546893058
transact,2014-12-31,fct,2014-12-31,141701.7698040907
transact,2014-12-31,x,2014-12-01,121437.1426928
transact,2014-12-31,x,2014-12-02,121499.234301
transact,2014-12-31,x,2014-12-03,116405.38025680001
transact,2014-12-31,x,2014-12-04,115128.80686669999
transact,2014-12-31,x,2014-12-05,128413.33381319999
transact,2014-12-31,x,2014-12-06,NA
transact,2014-12-31,x,2014-12-07,NA
transact,2014-12-31,x,2014-12-08,119349.5541048
transact,2014-12-31,x,2014-12-09,101549.6384003
transact,2014-12-31,x,2014-12-10,124645.4204279
transact,2014-12-31,x,2014-12-11,138773.02520170002
transact,2014-12-31,x,2014-12-12,128340.7431397
transact,2014-12-31,x,2014-12-13,NA
transact,2014-12-31,x,2014-12-14,NA
transact,2014-12-31,x,2014-12-15,133209.4251333
transact,2014-12-31,x,2014-12-16,127436.17513510001
transact,2014-12-31,x,2014-12-17,146545.5465193
transact,2014-12-31,x,2014-12-18,167042.19725829997
transact,2014-12-31,x,2014-12-19,160994.7957209
transact,2014-12-31,x,2014-12-20,NA
transact,2014-12-31,x,2014-12-21,NA
transact,2014-12-31,x,2014-12-22,158268.1870761
transact,2014-12-31,x,2014-12-23,166123.7907358
transact,2014-12-31,x,2014-12-24,130342.16388580001
transact,2014-12-31,x,2014-12-25,NA
