series,period,id,time,value
transact,2014-12-31,fct,2014-12-01,140232.90673682498
transact,2014-12-31,fct,2014-12-02,129656.03088518616
transact,2014-12-31,fct,2014-12-03,126440.34351683446
transact,2014-12-31,fct,2014-12-04,125260.54183627233
transact,2014-12-31,fct,2014-12-05,125035.42462305262
transact,2014-12-31,fct,2014-12-06,NA
transact,2014-12-31,fct,2014-12-07,NA
transact,2014-12-31,fct,2014-12-08,114088.3395634042
transact,2014-12-31,fct,2014-12-09,104109.09439719818
transact,2014-12-31,fct,2014-12-10,104477.22270516522
transact,2014-12-31,fct,2014-12-11,109474.75333599465
transact,2014-12-31,fct,2014-12-12,117277.5677371337
transact,2014-12-31,fct,2014-12-13,NA
transact,2014-12-31,fct,2014-12-14,NA
transact,2014-12-31,fct,2014-12-15,131115.08049313352
transact,2014-12-31,fct,2014-12-16,126364.86564727074
transact,2014-12-31,fct,2014-12-17,129339.47111128893
transact,2014-12-31,fct,2014-12-18,134148.02116143642
transact,2014-12-31,fct,2014-12-19,139192.14713458534
transact,2014-12-31,fct,2014-12-20,NA
transact,2014-12-31,fct,2014-12-21,NA
transact,2014-12-31,fct,2014-12-22,135428.99767303676
transact,2014-12-31,fct,2014-12-23,124449.08862963258
transact,2014-12-31,fct,2014-12-24,122296.48589401305
transact,2014-12-31,fct,2014-12-25,NA
transact,2014-12-31,fct,2014-12-26,NA
transact,2014-12-31,fct,2014-12-27,NA
transact,2014-12-31,fct,2014-12-28,NA
transact,2014-12-31,fct,2014-12-29,127595.41256917073
transact,2014-12-31,fct,2014-12-30,119778.57297368514
transact,2014-12-31,fct,2014-12-31,120715.63130202876
transact,2014-12-31,x,2014-12-01,121437.1426928
transact,2014-12-31,x,2014-12-02,121499.234301
transact,2014-12-31,x,2014-12-03,116405.38025680001
transact,2014-12-31,x,2014-12-04,115128.80686669999
transact,2014-12-31,x,2014-12-05,128413.33381319999
transact,2014-12-31,x,2014-12-06,NA
transact,2014-12-31,x,2014-12-07,NA
transact,2014-12-31,x,2014-12-08,119349.5541048
transact,2014-12-31,x,2014-12-09,101549.6384003
transact,2014-12-31,x,2014-12-10,124645.4204279
transact,2014-12-31,x,2014-12-11,138773.02520170002
transact,2014-12-31,x,2014-12-12,128340.7431397
transact,2014-12-31,x,2014-12-13,NA
transact,2014-12-31,x,2014-12-14,NA
transact,2014-12-31,x,2014-12-15,133209.4251333
transact,2014-12-31,x,2014-12-16,127436.17513510001
transact,2014-12-31,x,2014-12-17,146545.5465193
transact,2014-12-31,x,2014-12-18,167042.19725829997
transact,2014-12-31,x,2014-12-19,160994.7957209
transact,2014-12-31,x,2014-12-20,NA
transact,2014-12-31,x,2014-12-21,NA
transact,2014-12-31,x,2014-12-22,158268.1870761
transact,2014-12-31,x,2014-12-23,166123.7907358
transact,2014-12-31,x,2014-12-24,130342.16388580001
transact,2014-12-31,x,2014-12-25,NA
transact,2014-12-31,x,2014-12-26,NA
transact,2014-12-31,x,2014-12-27,NA
transact,2014-12-31,x,2014-12-28,NA
transact,2014-12-31,x,2014-12-29,150524.2003591
transact,2014-12-31,x,2014-12-30,145564.97281039998
transact,2014-12-31,x,2014-12-31,134290.4571635
transact,2014-11-30,fct,2014-10-29,112387.14072049124
transact,2014-11-30,fct,2014-10-30,118411.93347707766
transact,2014-11-30,fct,2014-10-31,123224.32779997795
transact,2014-11-30,fct,2014-11-01,NA
transact,2014-11-30,fct,2014-11-02,NA
transact,2014-11-30,fct,2014-11-03,118501.8941923733
transact,2014-11-30,fct,2014-11-04,106575.9866460274
transact,2014-11-30,fct,2014-11-05,102997.41519007621
transact,2014-11-30,fct,2014-11-06,103541.14795380092
transact,2014-11-30,fct,2014-11-07,105138.64960220674
transact,2014-11-30,fct,2014-11-08,NA
transact,2014-11-30,fct,2014-11-09,NA
transact,2014-11-30,fct,2014-11-10,102702.47520696884
transact,2014-11-30,fct,2014-11-11,94664.4825770416
transact,2014-11-30,fct,2014-11-12,95618.44678716385
