series,period,id,time,value
transact,2014-12-31,fct,2014-12-01,115694.48406305416
transact,2014-12-31,fct,2014-12-02,104901.35079042238
transact,2014-12-31,fct,2014-12-03,121968.03560616222
transact,2014-12-31,fct,2014-12-04,110711.23186750554
transact,2014-12-31,fct,2014-12-05,117840.7959728573
transact,2014-12-31,fct,2014-12-06,NA
transact,2014-12-31,fct,2014-12-07,NA
transact,2014-12-31,fct,2014-12-08,123212.62135605112
transact,2014-12-31,fct,2014-12-09,112483.29703505855
transact,2014-12-31,fct,2014-12-10,129516.04541455825
transact,2014-12-31,fct,2014-12-11,118125.94090179352
transact,2014-12-31,fct,2014-12-12,125023.03223587728
transact,2014-12-31,fct,2014-12-13,NA
transact,2014-12-31,fct,2014-12-14,NA
transact,2014-12-31,fct,2014-12-15,129131.75277560331
transact,2014-12-31,fct,2014-12-16,117811.48639932655
transact,2014-12-31,fct,2014-12-17,134181.79548345064
transact,2014-12-31,fct,2014-12-18,122068.02105564222
transact,2014-12-31,fct,2014-12-19,128191.68986545474
transact,2014-12-31,fct,2014-12-20,NA
transact,2014-12-31,fct,2014-12-21,NA
transact,2014-12-31,fct,2014-12-22,129809.8702652343
transact,2014-12-31,fct,2014-12-23,117648.14444353934
transact,2014-12-31,fct,2014-12-24,133194.51764651836
transact,2014-12-31,fct,2014-12-25,NA
transact,2014-12-31,fct,2014-12-26,NA
transact,2014-12-31,fct,2014-12-27,NA
transact,2014-12-31,fct,2014-12-28,NA
transact,2014-12-31,fct,2014-12-29,125414.29590516887
transact,2014-12-31,fct,2014-12-30,NA
transact,2014-12-31,fct,2014-12-31,NA
transact,2014-12-31,x,2014-12-01,121437.1426928
transact,2014-12-31,x,2014-12-02,121499.234301
transact,2014-12-31,x,2014-12-03,116405.38025680001
transact,2014-12-31,x,2014-12-04,115128.80686669999
transact,2014-12-31,x,2014-12-05,128413.33381319999
transact,2014-12-31,x,2014-12-06,NA
transact,2014-12-31,x,2014-12-07,NA
transact,2014-12-31,x,2014-12-08,119349.5541048
transact,2014-12-31,x,2014-12-09,101549.6384003
transact,2014-12-31,x,2014-12-10,124645.4204279
transact,2014-12-31,x,2014-12-11,138773.02520170002
transact,2014-12-31,x,2014-12-12,128340.7431397
transact,2014-12-31,x,2014-12-13,NA
transact,2014-12-31,x,2014-12-14,NA
transact,2014-12-31,x,2014-12-15,133209.4251333
transact,2014-12-31,x,2014-12-16,127436.17513510001
transact,2014-12-31,x,2014-12-17,146545.5465193
transact,2014-12-31,x,2014-12-18,167042.19725829997
transact,2014-12-31,x,2014-12-19,160994.7957209
transact,2014-12-31,x,2014-12-20,NA
transact,2014-12-31,x,2014-12-21,NA
transact,2014-12-31,x,2014-12-22,158268.1870761
transact,2014-12-31,x,2014-12-23,166123.7907358
transact,2014-12-31,x,2014-12-24,130342.16388580001
